"TID","EN","AR","CN","CNT","DE","ES-419","ES","FI","FR","HE","ID","IT","JP","KR","MS","NL","PL","PT","RU","TH","TR","VI","UK"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Claim Trophy Road rewards to unlock Quests!","طالب بمكافآت مسار الكؤوس لفتح المهام.","领取荣誉之路奖励以解锁任务！","領取榮耀之路獎勵以解鎖任務！","Fordere Trophäenpfad-Belohnungen ein, um Quests freizuschalten!","¡Consigue recompensas de trofeos para desbloquear misiones!","¡Consigue recompensas de trofeos para desbloquear misiones!","Avaa tehtävät lunastamalla palkinnot pokaalipolulta!","Débloquez les quêtes sur la voie des trophées !","קבלו פרסים מצבירת הגביעים כדי לפתוח נעילת קווסטים!","Klaim Hadiah Ambang Trofi untuk membuka Tugas!","Ritira i premi del Cammino dei trofei per sbloccare le missioni!","トロフィー目標報酬を回収してクエストをアンロックしましょう！","트로피 진척도 보상을 받아 퀘스트를 잠금 해제하세요!","Ambil ganjaran Jalan Trofi untuk buka misi!","Haal trofeeënpadbeloningen op om opdrachten te ontgrendelen!","Odbierz nagrody Alei Pucharów, aby odblokować misje!","Resgate as recompensas para desbloquear as missões!","Получи награды пути к славе, чтобы разблокировать квесты!","รับรางวัลจากถนนถ้วยรางวัลเพื่อปลดล็อคเควสต์!","Görevleri açmak için kupa yolu ödüllerini toplamalısın!","Nhận phần thưởng Cột mốc Cúp để mở khóa Nhiệm vụ!","Забери нагороди Шляху трофеїв, щоб розблокувати квести!"
"TID_RAPID_FIRE_ULTI_DESC","Colt rattles off a massive burst of bullets that shoot extra far and destroy cover.","يطلق كولت وابلاً هائلاً من الرصاص بعيد المدى القادر على تدمير الساتر.","柯尔特迅速开火，射出大量子弹，这些子弹的射程更远且能摧毁掩体。","柯爾特能快速連續射出大量子彈，這些子彈的射程更遠且能摧毀障礙物。","Colt ballert eine wuchtige Salve an Kugeln, die Deckungen zerstören und eine extrem hohe Reichweite haben.","Este apuesto pistolero dejará a todos atónitos con una descarga de balas de mayor alcance que también afectará a los refugios.","Este apuesto pistolero dejará a todos atónitos con una descarga de balas de mayor alcance que también afectará a los refugios.","Colt laskee matkaan valtavia luotiryöppyjä, jotka ulottuvat erikoispitkälle ja tuhoavat suojapaikkoja.","C'est un vrai déluge de balles avec une portée encore plus longue et qui peuvent même détruire les abris.","קולט פולט מטח כדורים מסיבי שמגיע למרחק רב והורס מקומות מחסה.","Colt menembakkan berondongan peluru masif dengan jangkauan ekstra jauh yang menghancurkan segala halangan.","Colt usa una scarica di colpi devastante per annientare qualsiasi copertura e raggiungere distanze maggiori.","爆発的な衝撃とともに飛び出す弾丸は、障害物も粉砕するパワーと圧倒的な飛距離を誇る。","더 먼 거리까지 대량의 탄환을 발사해 피해를 주고 지형물을 파괴합니다.","Colt menembak sebaran peluru yang menganjur lebih jauh memusnahkan pengadang.","Colt vuurt een enorm salvo van kogels af die extra ver vliegen en beschutting vernietigen.","Colt wystrzeliwuje potężną serię pocisków, które mają wyjątkowo daleki zasięg i potrafią niszczyć osłony.","Colt dispara uma rajada de balas de longo alcance que destrói cobertura.","Пули из револьверов Кольта покрывают огромное расстояние и уничтожают укрытия.","โคลท์จะรัวกระสุนที่ยิงได้ไกลขึ้นและทำลายสิ่งกีดขวางได้","Colt, özel mermileriyle daha uzun menzilli, yoluna çıkan siperleri de yok eden bir dizi atış yapar.","Colt nhanh chóng bắn ra loạt đạn có kích cỡ lớn. Loạt đạn này có tầm bắn xa hơn và sức công phá của nó có thể tiêu hủy cả nơi ẩn nấp.","Кольт випускає потужний шквал куль, які летять дуже далеко й руйнують укриття."
"TID_FIREWORKS_WEAPON_DESC","Brock lets fly with a single Rockin' Rocket that really goes the distance.","يطلق بروك صاروخًا واحدًا قويًا يصل إلى مدى بعيد.","布洛克的火箭炮每次能发射一枚射程惊人的火箭弹。","布洛克每次能發射一枚射程驚人的搖滾火箭。","Brock verschießt eine rockende Rakete, die eine weite Entfernung zurücklegt.","Brock dispara un único cohete de gran alcance.","Brock dispara un único cohete de gran alcance.","Brockin rokkiraketti lentää pitkälle ja todellakin soi mennessään.","Brock tire une seule roquette. Qui aurait cru que ce machin pouvait aller aussi loin ?","ברוק מעיף טיל מטלטל שמסוגל להגיע למרחק עצום.","Brock menerbangkan Roket Keren yang benar-benar meluncur jauh.","Brock mette il turbo ai razzi, facendogli percorrere distanze incredibili. Sarebbe inarrestabile, se solo ne sparasse più di uno alla volta...","かなり射程の長いロックンロケットを1発ずつ発射する。","아주 먼 거리까지 날아가는 단발식 로켓포를 발사합니다.","Brock melepaskan satu Roket Mengejut yang terbang jauh di medan pertempuran.","Brock vuurt een enkele rockende raket af die echt tot het uiterste gaat.","Brock częstuje wrogów jedną Brockową Rakietą o naprawdę dużym zasięgu.","Brock aposta tudo rumo ao estrelato lançando um único míssil de longo alcance.","Выпущенная Броком роковая ракета летит высоко и далеко.","บร็อคยิงจรวดสุดมันส์หนึ่งลูกที่เดินทางได้ไกลมาก","Brock, uzun menzilli tek bir roket atar.","Brock phóng một quả Tên lửa có tầm bay rất xa.","Брок запускає одну Рок-н-ракету, яка летить дуже далеко."
"TID_MORTAR_ULTI_DESC","A big-bada-barrel of dynamite blows up cover. Any surviving enemies get knocked back on impact!","يتفجر برميل الديناميت الضخم هذا ليدمر الساتر، ويدفع الأعداء الناجين إلى التقهقر.","这个大木桶不仅威力巨大，还能摧毁掩体。即使敌人未被击倒，也仍会被强大的冲击波震飞。","這個塞滿炸藥的炸藥桶不僅威力巨大，還能摧毀障礙物。即使敵人在爆炸中僥倖生還，也仍會被強大的衝擊波震飛。","Ein riesiges Fass, das bis zum Rand mit Sprengstoff vollgestopft ist und Deckungen hochjagt. Gegner werden bei der Explosion zurückgestoßen!","Mike lanza un barril grande de dinamita. Cuando este explota, quien sobreviva será empujado hacia atrás.","Mike lanza un barril grande de dinamita. Cuando este explota, quien sobreviva recibe un impacto hacia atrás.","Kookas dynamiittitynnyri räjäyttää piilopaikat taivaan tuuliin. Pamauksesta selvinneet vastustajat lentävät kauemmas!","Un bon gros tonneau de dynamite règle tous les problèmes (ou presque). Ennemis soufflés au loin garantis !","האמ-אימא של חביות הדינמיט! מפוצצת מקומות מחסה כמו כלום. כל אויב ששורד מחוסל על המקום.","Bom Tong Besar menghancurkan apa pun. Yang masih selamat akan terhantam mundur!","Perfetto per far saltare in aria nemici e coperture, far sbalzare via qualsiasi sopravvissuto o festeggiare Capodanno.","ダイナマイトが詰まった特大なタルが障害物を吹き飛ばす。やられなかった敵も爆風で押し戻してしまう。","다이너마이트로 가득 찬 통을 던져 폭발시킵니다. 폭발의 영향에 살아남은 적은 뒤로 밀려납니다!","Satu tong besar dinamit meledak. Musuh yang masih hidup akan kena tolak disebabkan impaknya yang besar!","Een grote bim-bam-boemton van dynamiet blaast beschutting op. Overlevende vijanden worden teruggeslagen bij impact.","Wielka beczka dynamitu, która wysadza osłony w powietrze. Przeciwnicy, którym uda się przetrwać wybuch, zostają odrzuceni w tył.","Um barril de dinamites detona os obstáculos, e os sobreviventes são empurrados no impacto!","Супермегамощный взрыв сносит укрытия. Выживших врагов отбрасывает взрывной волной!","ไดนาไมต์ถังใหญ่ที่จะระเบิดสิ่งกีดขวางเป็นจุล ศัตรูที่รอดชีวิตจะกระเด็นถอยหลังจากแรงกระแทก!","Dev bir fıçı bomba. Siperleri ve engelleri yok eder. Yok olmayan düşmanlar da geri püskürtülür.","Một thùng thuốc nổ lớn có thể làm nổ tung nơi ẩn nấp. Bất kỳ kẻ địch nào còn sống sót sẽ bị đánh văng ra do ảnh hưởng của uy lực thuốc nổ!","Велетенська бочка динаміту підриває укриття. Противників, які виживуть, відкидає назад вибуховою хвилею!"
"TID_LUCHADOR_ULTI_DESC","Leaping high, El Primo drops an Intergalactic Elbow that knocks around enemies and destroys cover!","يقفز إل بريمو عاليًا وينزل بضربة كوع صاعقة تفتت أعداءه وتدمر الساتر!","艾尔·普里莫高高跃起，使出强力肘击砸向目标，可击退敌人并摧毁掩体！","艾爾普里莫高高躍起，落地時施展強力肘擊，能擊退敵人並摧毀障礙物！","El Primo springt hoch in die Luft und landet mit einem intergalaktischen Ellenbogen-Drop, der Feinde wegstößt und Deckungen zerschmettert.","Este luchador salta por los aires y, al aterrizar, da un codazo intergaláctico que aplasta a los enemigos y destroza refugios.","Este luchador salta por los aires y, al aterrizar, da un codazo intergaláctico que machaca a los enemigos y destroza refugios.","El Primo loikkaa korkeuksiin ja pudottaa galaktisen kyynärpäänsä, joka tyrmää lähistöllä olevia vastustajia ja tuhoaa suojapaikkoja.","El Costo s'envole dans les airs et donne un coup de coude intergalactique qui repousse les ennemis autour et détruit les obstacles.","אל פרימו מנתר למעלה ומנחית מרפק מהגיהינום שמחסל אויבים והורס מקומות מחסה!","El Primo melompat tinggi dan dengan Sikut Intergalaksi miliknya dia akan menghantam mundur lawan dan menghancurkan halangan!","Proprio come una meteora, El Primo impatta dall'alto con una gomitata mostruosa che sbalza i nemici all'indietro e distrugge le coperture.","高く跳び上がり、障害物まで破壊する強力なエルボードロップを敵の脳天にお見舞いする。","높이 점프한 뒤 팔꿈치로 적을 때려눕히고 지형물을 파괴합니다!","El Primo melompat tinggi dan menjatuhkan siku antara galaksi yang akan menolak kuat musuh dan memusnahkan pengadang!","Hij springt hoog de lucht in en komt met zijn intergalactische elleboogstoot neer. Alle omstanders worden omvergeslagen en beschutting wordt vernietigd.","El Primo wyskakuje w górę i zadaje potężny cios międzygalaktycznym łokciem, zwalającym z nóg wrogów i niszczącym osłony.","Das alturas, El Primo desfere uma cotovelada intergaláctica que repele os inimigos e destrói coberturas!","Высоко подпрыгнув, Эль Примо с силой обрушивает вниз локоть, разбрасывая в стороны врагов и разрушая укрытия.","เอล ปริโม่จะกระโดดขึ้นสูงพร้อมทิ้งศอกพลังกาแล็กซีที่ทำลายศัตรูและสิ่งกีดขวาง!","El Primo, yüksekten bir atlayışla rakiplerine sert bir dirsek darbesi indirir ve çevredeki siperleri yok eder.","El Primo nhảy lên cao và tung ra đòn xuống khuỷu tay như trời giáng, đánh kẻ địch văng ra xa và phá hủy cả nơi ẩn nấp!","Злетівши високо, Ель-Прімо спрямовує Міжгалактичний лікоть, який розкидає противників і руйнує укриття!"
"TID_CACTUS_ULTI_DESC","Spike lobs a thorny grenade. Enemies caught in the blast area take damage and are slowed down.","يلقي سبايك قنبلة يدوية شائكة تلحق الضرر بالأعداء في منطقة انفجارها، وتبطئ حركتهم.","斯派克抛出一枚尖刺炸弹，使爆炸范围内的敌人受到伤害并降低移动速度。","史派克拋出一個尖刺炸彈，位於技能範圍內的敵人會受到傷害並降低移動速度。","Spike wirft eine dornige Granate. Feinde in ihrem Wirkungsbereich erleiden Schaden und werden verlangsamt.","Spike lanza una granada espinada que ralentiza y daña a los enemigos que se encuentren dentro de su área de explosión.","Spike lanza una granada espinada que ralentiza y daña a los enemigos que se encuentran dentro de su área de explosión.","Spike sinkoaa piikikkään kranaatin. Räjähdysalueella olevat vastustajat vahingoittuvat ja hidastuvat.","Spike jette une grenade hérissée d'épines. Les ennemis à portée sont ralentis et subissent des dégâts.","ספייק משליך רימון קוצים. האויבים נלכדים באזור המופגז, נפגעים והתקדמותם מואטת.","Spike melemparkan granat berduri. Lawan yang terjebak di area duri akan menerima kerusakan dan melambat.","Spike scaglia una granata pungente, la cui zona d'impatto danneggia e rallenta i nemici.","トゲの海を生み出すグレネード。効果範囲に入った敵はダメージを負うだけでなく、動きも鈍くなる。","스파이크가 던진 가시 수류탄이 터지면서 폭발 범위 안의 적에게 피해를 주고 느리게 만듭니다.","Spike membaling tinggi-tinggi grenad berduri. Musuh yang terperangkap di dalam kawasan letupan akan menerima kerosakan dan diperlahankan.","Spike gooit een netelige granaat. Vijanden in het ontploffingsgebied lopen schade op en worden vertraagd.","Spike rzuca kolczastym granatem. Znajdujący się w zasięgu wybuchu wrogowie zostają spowolnieni i otrzymują obrażenia.","Spike lança uma granada de espinhos que causa dano e retarda os inimigos.","Спайк бросает шипастую гранату, которая наносит урон и замедляет врагов, попавших в зону взрыва.","สไปค์จะยิงระเบิดหนาม ศัตรูที่อยู่ในรัศมีระเบิดจะได้รับความเสียหายและมีความเร็วลดลง","Spike, dikenli bir el bombası atar. Patlama alanında kalan düşmanlar zarar görür ve yavaşlar.","Spike ném ra một quả lựu đạn gai. Kẻ địch nào nằm trong phạm vi phát nổ của quả lựu đạn này sẽ phải chịu sát thương và di chuyển chậm lại.","Спайк кидає колючу гранату. Противники в зоні вибуху отримують ушкодження й сповільнюються."
"TID_BARKEEP_ULTI_DESC","Barley hurls a flurry of fiery bottles, covering a huge area in flames. This one's on the house!","يقذف بارلي سلسلة من الزجاجات الحارقة، فتغطي مساحة كبيرة بألسنة اللهب. حساب هذه المشروبات على المحل!","巴利快速抛出多个玻璃瓶，使一大片区域燃起熊熊烈火。尝尝巴利亲手调制的特饮吧！","保力迅速拋出多個燃燒瓶，使一大片區域燃起熊熊烈火，保力以行動表現滿滿熱情！","Barley schleudert brennende Flaschen, die einen großen Bereich in Brand setzen. Der geht aufs Haus!","Barley arroja con furia un montón de botellas que prenden fuego a un área extensa. ¡Invita la casa!","Barley arroja con furia un montón de botellas que prenden fuego a un área extensa. ¡Invita la casa!","Barley humauttaa matkaan joukon palavia pulloja, ja laaja alue peittyy liekkeihin. Talo tarjoaa tämän kierroksen!","Avec une volée de cocktails qui mettent le feu à une large surface, Bartaba fait fuir tous les méchants. Tournée générale !","בארלי משליך מטח של בקבוקי תבערה, המעלה בלהבות אזור עצום. הנה אחד על חשבון הבית!","Barley melemparkan botol-botol membara yang akan menyelimuti area luas dengan api. Kali ini minumannya gratis!","Bombardino presenta l'offerta della casa: una pioggia di bottiglie incendiarie che infiammano una vasta area al momento dell'impatto.","引火性があるのは言うまでもなく... 広範囲を火の海にするボトルを、店から何本か大サービス！","병을 던져 넓은 지역을 불바다로 만듭니다. 발리의 특별 서비스입니다!","Barley melempar selonggok botol yang menyebabkan sebuah kawasan besar terbakar. Semua ni percuma!","Barley gooit ontvlambare flessen en zet een enorm gebied in vuur en vlam. Rondje van het huis.","Barley rzuca serią ognistych butelek, sprawiając, że ogromny obszar staje w płomieniach. Na koszt firmy!","Barley atira várias garrafas incendiárias, espalhando fogo por uma grande área. Essa é cortesia da casa!","Обрушив шквал огненных бутылок, Барли заливает огнём огромную площадь. За счёт заведения!","บาร์ลีย์เขวี้ยงระเบิดขวดจำนวนมาก ปกคลุมพื้นที่ไปด้วยเปลวเพลิง ขวดนี้บาร์ลีย์เลี้ยง!","Barley, çok sayıda yanan şişe fırlatır ve geniş bir bölgeyi alevler içinde bırakır. Yan masadan gönderdiler!","Barley quăng ra một loạt các chai lọ chứa chất lỏng dễ cháy, gây ra hỏa hoạn trên một vùng rộng lớn. Bạn chỉ cần chiêm ngưỡng thôi, chi phí cứ để quán rượu lo!","Барлі жбурляє цілу зливу підпалених пляшок і накриває вогнем велику зону. Це коштом закладу!"
"TID_MECHANIC_WEAPON_DESC","Jessie fires off an energy orb. After hitting a target the orb bounces to the next target in range, hitting up to three enemies. Each bounce deals <damageDecayChain> less damage.","تطلق جيسي كرة طاقة ترتد من هدف إلى الهدف الذي يليه، وتصيب حتى ثلاثة أعداء. يلحق كل ارتداد ضررًا أقل بمقدار <damageDecayChain>.","杰西发射一个能量球，能量球命中目标后会弹向其他目标，最多可击中3个敌人。每弹射一次，能量球造成的伤害就降低<damageDecayChain>。","潔西發射一個能量球，能量球在命中目標後會彈向其他目標，最多可擊中3名敵人。每彈射一次，能量球造成的傷害就降低<damageDecayChain>。","Jessie verschießt eine Energiekugel. Nachdem diese ein Ziel trifft, springt sie auf das nächstgelegene Ziel über. So können bis zu drei Gegner getroffen werden. Jeder Sprung der Kugel verursacht <damageDecayChain> weniger Schaden.","Jessie dispara una esfera de energía, que luego de alcanzar al primer objetivo, sigue rebotando y es capaz de dañar hasta dos objetivos más. El daño que inflige se reduce en un <damageDecayChain> con cada rebote.","Jessie dispara una esfera de energía. Tras alcanzar al primer objetivo, esta masa de energía puede llegar a alcanzar a hasta dos objetivos más. El daño que inflige se reduce en un <damageDecayChain> con cada rebote.","Jessie ampuu energiakentän, joka maaliin osuttuaan ponnahtaa seuraavaan kantaman sisällä olevaan kohteeseen ja voi osua jopa kolmeen vastustajaan. Jokainen ponnahdus aiheuttaa <damageDecayChain> vähemmän tuhoa kuin edellinen.","Jessie tire une boule d'énergie. Après avoir atteint une cible, le projectile rebondit vers la suivante et en touche jusqu'à trois si elles sont à sa portée. Après chaque rebond, le projectile inflige <damageDecayChain> points de dégats de moins.","ג‘סי יורה קליעי אנרגיה. לאחר שהקליע פוגע במטרה הוא קופץ ועובר למטרה הבאה בסביבה, וכך פוגע עד לשלושה אויבים. כל קפיצה גורמת <damageDecayChain> פחות נזק.","Jessie menembakkan bola energi yang dapat memantul dari satu target ke target berikutnya hingga mengenai tiga lawan. Kerusakan yang ditimbulkan dari setiap pantulan akan berkurang sebanyak <damageDecayChain>.","Jessie spara una sfera di energia che può colpire fino a tre nemici uno dopo l'altro, se ogni impatto va a segno. Ogni avversario colpito dopo il primo subirà il <damageDecayChain> di punti danno in meno.","球状のエネルギー弾を発射する。敵に当たった後も射程にいる次の標的に向かって跳ね返り、最大3人まで攻撃できる。与えるダメージは跳ね返るごとに<damageDecayChain>ずつ減少する。","적을 맞히면 범위 내 다른 적에게 튕겨 나가 피해를 주는 에너지 볼을 발사합니다. 에너지 볼은 최대 3명에게 피해를 주며, 튕길 때마다 피해량이 <damageDecayChain>씩 감소합니다.","Jessie menembak orb bertenaga. Selepas mengenai sasaran, orb itu melantun ke sasaran seterusnya dalam lingkungan, mengenai sehingga tiga musuh. Kerosakan setiap lantunan akan berkurang sebanyak <damageDecayChain>.","Jessie vuurt een energiebal af die tot wel drie extra doelwitten kan raken door naar nabije vijanden te stuiteren. De energiebal richt na elke stuit <damageDecayChain> minder schade aan.","Jessie wystrzeliwuje kulę energii. Po dotarciu do celu pocisk odbija się od niego i leci do kolejnego celu w zasięgu. Może on trafić maksymalnie trzech wrogów. Każde kolejne odbicie zadaje obrażenia zmniejszone o <damageDecayChain>.","Jessie dispara um orbe de energia que pode acertar até três alvos consecutivos, contanto que estejam dentro do campo de alcance. Cada quicada causa <damageDecayChain> menos dano.","Джесси стреляет энергосферой, которая может поразить до трёх врагов, отскакивая от одной цели к другой. С каждым отскоком урон уменьшается на <damageDecayChain>.","เจสซี่ยิงลูกบอลพลังงานออกมา เมื่อยิงถูกศัตรู ลูกพลังงานจะชิ่งไปยังเป้าหมายถัดไปที่อยู่ในระยะได้อย่างต่อเนื่องถึงสามคน การชิ่งแต่ละครั้งจะสร้างความเสียหายลดลง <damageDecayChain> หน่วย","Jessie bir enerji küresi ateşler. Küre bir hedefe isabet edince menzil dahilindeki bir sonraki hedefe doğru seker ve üç düşmana kadar vurabilir. Her sektiğinde verdiği hasar <damageDecayChain> azalır.","Jessie bắn ra một quả cầu năng lượng. Sau khi trúng vào một mục tiêu, quả cầu sẽ nẩy sang mục tiêu tiếp theo cũng nằm trong tầm của nó. Quả cầu này có thể đánh trúng tối đa 3 kẻ địch, và sát thương bị giảm đi <damageDecayChain> sau mỗi lần nẩy.","Джессі стріляє енергетичною сферою. Після влучання сфера відскакує до наступної цілі в радіусі дії та може вразити до трьох противників. Кожен відскок зменшує ушкодження на <damageDecayChain> од."
"TID_UNDERTAKER_WEAPON_DESC","Mortis dashes forward with a sharp swing of his shovel, creating business opportunities for himself. When he has all three dashes ready, he'll gain a longer dash after a short delay.","يندفع مورتيس إلى الأمام ويلوح بجاروفه ليسدد ضربة خاطفة إلى أعدائه ويخلق فرصًا لنفسه. عندما تجهز الاندفاعات الثلاثة كلها، سيحصل على اندفاع أطول بعد تأخير قصير.","莫提斯猛地挥铲向前突击，为自己的事业创造商机。3格弹药槽全满时，他将获得一个自动充能的突击能量条。能量条充满后，他下一次突击的距离会更远。","莫提斯喜歡揮舞鋒利的鐵鏟向前突襲，為自己的事業創造商機。莫提斯的3格彈藥槽全滿時，他將獲得一個自動蓄能的突襲能量條。能量條蓄滿後，他下一次突襲的距離會更遠。","Mortis schwingt seine Schaufel und schnellt vorwärts, wodurch sich für ihn Geschäftsgelegenheiten ergeben. Wenn alle drei Sprünge aufgeladen sind, kann er nach einer kurzen Verzögerung einen größeren Sprung ausführen.","Mortis se abalanza sobre sus enemigos y les asesta un buen palazo. ¡Debe mantener el negocio a flote! Cuando sus tres ataques estén disponibles, conseguirá uno más largo al cabo de un rato.","Mortis se abalanza sobre sus enemigos y les asesta un buen palazo. ¡Que no decaiga el trabajo! Cuando sus tres ataques estén disponibles, conseguirá uno más largo al cabo de un rato.","Mortis syöksyy eteenpäin heiluttaen lapiotaan letkeästi potentiaalisten uusien asiakkaiden toivossa. Kun kolme syöksyä on käyttövalmiina, hän saa pienen viiveen jälkeen käyttöönsä pidemmän syöksyn.","Mortis fonce sur ses ennemis et leur assène un grand coup de pelle. Après tout, c'est bon pour les affaires. S'il conserve ses trois charges un court moment, sa première charge est allongée.","מורטיס מזנק קדימה בהינף חד של את החפירה שלו, ומייצר לעצמו הזדמנויות עסקיות. כאשר כל שלושת הזינוקים שלו יהיו מוכנים, יקבל זינוק ארוך יותר לאחר עיכוב קצר.","Mortis menerjang maju sembari mengayunkan cangkul tajam miliknya. Saat bilah serangannya penuh, akan ada jeda beberapa saat dan dia akan mendapatkan satu serangan dengan jangkauan yang lebih jauh.","Mortis scatta in avanti agitando la pala e procurandosi allo stesso tempo nuove opportunità di lavoro. Quando tutti e tre gli scatti sono pronti, il primo coprirà una distanza maggiore, se si aspetta qualche secondo.","シャベルを素早く振ることで前方へダッシュする。新たな顧客開拓に向けた営業アピールも兼ねているのだとか。3回分の通常攻撃が溜まった状態を維持すると、長距離ダッシュがチャージされる。","전방으로 돌진하며 삽을 휘두릅니다. 세 번의 돌진 공격이 모두 준비되면 잠시 멈춘 후 더 멀리 돌진합니다.","Mortis memecut ke depan dan mengayunkan penyodoknya, mencipta peluang perniagaan untuk dirinya. Apabila kesemua tiga pecutannya sedia digunakan, dia akan mendapat pecutan lebih jauh selepas seketika.","Mortis sprint naar voren met een scherpe zwaai van zijn schep. Zo zorgt hij dat de zaken goed blijven gaan. Als hij alle drie sprints klaar heeft staan, kan hij na een korte vertraging verder naar voren sprinten.","Mortis błyskawicznie przesuwa się do przodu z każdym potężnym machnięciem łopatą, bez wahania korzystając ze swojej przewagi. Gdy wszystkie trzy sprinty są gotowe, Mortis otrzymuje po chwili dłuższy sprint.","Com arrancadas para a frente e tacadas precisas da sua pá, os negócios de Mortis vão de vento em popa. Ao carregar três arrancadas, a primeira cobrirá uma distância maior após um pequeno atraso.","Прыжок вперёд и резкий взмах лопатой — и у Мортиса вновь полно работы. Вскоре после того, как все три прыжка становятся доступны, длина следующего прыжка Мортиса увеличивается.","มอร์ติสพุ่งไปด้านหน้าพร้อมกับควงพลั่วที่จะสร้างโอกาสทางธุรกิจให้กับกิจการสัปเหร่อของเขา เมื่อเขาสะสมการพุ่งครบสามครั้ง เขาจะพุ่งได้ไกลกว่าเดิมหลังจากดีเลย์สั้นๆ","Mortis ileri atılıp bir kürek darbesi indirir, girişimci ruhuyla kendine iş fırsatları yaratır. Üç darbesi de dolduktan kısa bir süre sonra ileri atıldığında daha uzun mesafe kat eder.","Mortis lao về phía trước và vung ra chiếc xẻng cực kỳ sắc bén, đưa tiễn kẻ địch về nơi tây phương. Nếu Mortis giữ lại 3 lượt lao về phía trước trong khoảng thời gian ngắn, anh ta có thể lao về phía trước xa hơn.","Мортис ривком кидається вперед, різко змахує лопатою й заводить собі нових клієнтів. Коли всі три ривки готові, згодом він отримує довший ривок."
